ticket_id,flight_number,cancel_reason,refund_status,customer_id
eeb8edfe,TK256,personal,approved,C12257
16bd5ece,TK661,weather,rejected,C90769
a74e9dfa,TK177,weather,rejected,C44773
1d20cb68,TK744,crew,approved,C93692
42db6f3f,TK260,schedule,processing,C57377
b4a2945f,TK539,crew,rejected,C68283
47b04583,TK850,schedule,approved,C64336
895dbd42,TK223,personal,processing,C90098
f4b68662,TK953,personal,approved,C20293
50398790,TK824,personal,approved,C12100
392f46d5,TK519,schedule,rejected,C28199
4ee621d9,TK843,weather,rejected,C41881
e6456604,TK485,personal,approved,C61813
773e3f26,TK466,schedule,processing,C34087
24720318,TK338,personal,rejected,C11401
6cd3250a,TK599,personal,approved,C30307
b4261924,TK154,personal,processing,C86240
11712e9a,TK251,personal,approved,C13866
1c95ea76,TK466,schedule,approved,C61374
f90236a3,TK333,personal,approved,C91029
e04e2e31,TK760,schedule,approved,C39336
cd93f26a,TK602,personal,approved,C61955
54034a34,TK679,crew,rejected,C43487
aa3fcbba,TK395,schedule,rejected,C62870
c721eba2,TK826,schedule,rejected,C14426
25db3d67,TK140,personal,approved,C38151
9ebe64c6,TK495,weather,approved,C55671
f5d5803a,TK294,personal,rejected,C97265
8c2e37b0,TK982,weather,processing,C59067
2f375ff7,TK168,weather,approved,C34968
feb56778,TK884,personal,processing,C84707
44cbd0a3,TK982,schedule,approved,C65835
786ff933,TK744,weather,approved,C56169
362e983d,TK671,schedule,approved,C42793
a2706352,TK294,other,approved,C98330
73f40dea,TK752,crew,rejected,C88915
4c535d89,TK145,schedule,processing,C84218
878966e3,TK524,schedule,approved,C42983
9f947f01,TK762,personal,rejected,C90360
4e66dbca,TK358,weather,rejected,C26241
1f435e37,TK848,weather,approved,C57562
ca7e2663,TK882,personal,approved,C37045
9e7876d7,TK455,personal,approved,C31625
d692cc7e,TK162,other,rejected,C74805
826414aa,TK506,personal,approved,C75101
67acfcea,TK405,personal,processing,C77293
c51ac952,TK861,weather,approved,C53527
20bb5c34,TK877,other,rejected,C34272
e22274fd,TK259,weather,processing,C64110
cce5f4cf,TK370,other,processing,C22867
ac12528b,TK877,other,approved,C83402
4b3dacd3,TK316,personal,processing,C97178
120aaa42,TK955,weather,rejected,C48870
0c93f079,TK661,weather,processing,C40873
17c462f9,TK838,other,processing,C35372
ef25e96e,TK157,personal,processing,C24122
f0ee5e21,TK918,crew,processing,C80902
1c18cfa9,TK843,schedule,approved,C86253
15d06f9d,TK198,personal,rejected,C98896
c254fb7c,TK701,schedule,rejected,C97893
a612e3af,TK519,weather,approved,C94388
2ed74937,TK736,personal,processing,C79119
24571ab3,TK260,weather,approved,C34532
c10fed86,TK250,personal,processing,C94289
7f941c40,TK154,personal,approved,C37413
cda93e92,TK317,personal,approved,C95867
76b9f402,TK824,weather,processing,C33816
d62e6ede,TK465,other,approved,C65841
41bb9fde,TK161,crew,approved,C63574
f663d9db,TK573,personal,approved,C13696
d7b7348a,TK283,other,approved,C63521
3c01f7e3,TK953,crew,rejected,C92612
6b5801e9,TK477,other,processing,C61313
95c6feb0,TK477,weather,approved,C40099
88992f79,TK455,weather,approved,C19256
002f833e,TK456,weather,rejected,C97440
3d7b2cf9,TK250,other,approved,C36536
b56550fe,TK370,personal,approved,C12871
e874b05a,TK892,schedule,approved,C86057
f6d46167,TK570,schedule,processing,C90070
8222260d,TK870,personal,rejected,C55607
d2c2be6b,TK250,personal,approved,C53798
47c0a392,TK466,crew,approved,C30700
0f412320,TK570,weather,rejected,C92534
499d25c0,TK551,weather,processing,C30954
8bde6345,TK539,personal,processing,C56976
d74ee544,TK194,weather,rejected,C55095
915f2983,TK155,schedule,rejected,C57068
b1212431,TK456,personal,approved,C71250
766a8b37,TK445,crew,processing,C17415
a76450c4,TK289,weather,rejected,C47726
f1f8383d,TK599,personal,approved,C59976
ee021406,TK988,schedule,approved,C44148
3aa3441f,TK411,crew,approved,C95076
aaa90d5c,TK174,weather,approved,C48578
587af24b,TK610,schedule,rejected,C95029
cb162cc9,TK325,schedule,approved,C95160
868e261d,TK862,schedule,processing,C67649
987fbf20,TK771,schedule,approved,C35711
43c19d75,TK245,other,processing,C96511
cac42003,TK458,schedule,approved,C37127
31069df7,TK671,personal,approved,C28375
78433e37,TK154,schedule,approved,C20014
da23b447,TK316,schedule,approved,C40881
24e8ca22,TK587,personal,approved,C62874
c3dc49f9,TK485,personal,approved,C78368
62855e0f,TK602,weather,approved,C42920
c4ffc615,TK251,personal,approved,C12800
7165984c,TK283,other,approved,C87603
99e29b88,TK259,weather,approved,C30583
acb56425,TK811,other,rejected,C99285
0c3fd17a,TK188,schedule,approved,C42934
f9200fd6,TK556,schedule,approved,C29873
07b84622,TK352,weather,rejected,C31644
58aa585c,TK524,schedule,rejected,C45060
0c9782d3,TK697,personal,approved,C35675
3f440958,TK870,crew,approved,C63312
6c252fc7,TK342,schedule,rejected,C95091
08d6f249,TK897,weather,rejected,C81569
fa7f2858,TK160,schedule,rejected,C28919
f899aff5,TK916,personal,approved,C80305
f88aef5e,TK119,personal,rejected,C37962
481f2561,TK198,other,approved,C92912
89d64c31,TK831,crew,approved,C28624
ef8081f2,TK499,schedule,processing,C77391
2592c884,TK400,weather,processing,C62815
6bf52563,TK506,personal,rejected,C79267
91ec791d,TK877,schedule,approved,C74887
a759f30a,TK497,crew,processing,C53526
e9f5023b,TK784,schedule,processing,C21889
a584debe,TK975,weather,approved,C56289
f3f431d6,TK581,weather,approved,C10112
bda72365,TK278,personal,approved,C26523
7c5ec628,TK824,schedule,rejected,C20808
f594a07a,TK831,schedule,approved,C10887
f97c6de3,TK400,personal,approved,C91938
e20681d3,TK599,crew,processing,C87789
68d2a2fb,TK664,schedule,rejected,C56220
a9527be0,TK560,weather,approved,C55270
07731308,TK174,crew,approved,C32931
e8a44c64,TK541,other,approved,C61913
4ea5a089,TK752,personal,approved,C64845
6377d23b,TK772,personal,processing,C26901
99785deb,TK174,schedule,rejected,C72120
1d1a978c,TK145,crew,approved,C24256
f7e7e2b6,TK395,weather,approved,C69778
9a651521,TK542,personal,approved,C51167
d2b34907,TK745,other,rejected,C98229
533b490c,TK260,weather,processing,C70710
276a83b8,TK294,crew,approved,C32547
054ecf5b,TK744,personal,approved,C74619
3db5b570,TK661,crew,approved,C26193
9a4f15c1,TK258,crew,approved,C91730
27a61ad1,TK982,schedule,rejected,C22360
0a4c97a0,TK826,personal,approved,C55800
eb85aea5,TK256,schedule,processing,C28689
93dc2458,TK168,personal,rejected,C52137
e94e5371,TK500,schedule,processing,C58442
a7858d91,TK495,personal,approved,C11813
bb64d4ed,TK556,personal,approved,C65276
18a56b66,TK752,other,approved,C52051
b083afe7,TK820,other,approved,C75618
986ca58c,TK465,personal,rejected,C91132
a7b42e95,TK687,other,approved,C40981
f8281a9f,TK213,schedule,approved,C92289
2a6c92b3,TK513,schedule,processing,C60931
54f38b9e,TK477,schedule,approved,C70686
2af794ba,TK295,personal,rejected,C78498
c29073c8,TK333,schedule,approved,C85945
445faf26,TK701,weather,processing,C20278
ad16bb54,TK294,other,approved,C72943
6135a6d3,TK730,weather,approved,C70128
6554aef6,TK697,other,approved,C15039
5415bfd0,TK213,weather,approved,C37586
ea582f2e,TK671,weather,processing,C77087
74437673,TK701,schedule,processing,C76897
e0784d5f,TK988,crew,rejected,C17610
5198d464,TK736,personal,rejected,C86162
473c0577,TK188,other,approved,C20103
567ad06f,TK838,personal,approved,C92409
6e912e47,TK697,personal,approved,C34170
dbcc2c1d,TK419,other,processing,C53803
10a899bc,TK882,schedule,approved,C28257
f3bae880,TK180,weather,rejected,C30025
997bb810,TK555,personal,approved,C93961
23c19a2d,TK122,other,approved,C48506
0b8be640,TK850,personal,rejected,C34417
0506d522,TK479,weather,approved,C17352
dbbe26d6,TK174,weather,approved,C51094
6949df1a,TK404,weather,approved,C83539
5c30acb9,TK251,personal,rejected,C45842
ac2cca60,TK250,other,approved,C66704
d5e8c6a0,TK283,weather,approved,C35500
65964339,TK736,schedule,rejected,C28452
18703445,TK385,personal,approved,C57406
20d3a3da,TK412,weather,processing,C22356
fa486732,TK587,personal,approved,C45098
3c8eaa68,TK976,schedule,approved,C67620
7acda715,TK290,schedule,approved,C79463
32caace2,TK990,schedule,rejected,C12591
aa997a60,TK952,crew,approved,C72061
7bf4f73d,TK500,weather,approved,C94774
