complaint_id,flight_number,customer_id,category,status,created_at
afc3fdbc,TK492,C91768,delay,resolved,2025-08-20
a3800e84,TK471,C80910,service,resolved,2025-08-27
778175a9,TK333,C61631,service,resolved,2025-08-30
5d6b980b,TK264,C68929,delay,resolved,2025-08-28
56f743cc,TK423,C68643,delay,resolved,2025-08-23
8cf7ebf8,TK251,C77580,delay,open,2025-09-10
2cfa9451,TK160,C19168,service,pending,2025-10-07
76d2a3b1,TK921,C99388,baggage,open,2025-08-22
7b2649dd,TK198,C81853,baggage,resolved,2025-09-19
7b9fcab5,TK180,C98668,service,pending,2025-09-07
261323a2,TK145,C71944,baggage,resolved,2025-10-08
dbd87d77,TK655,C53355,service,resolved,2025-08-31
207fddac,TK645,C18770,baggage,pending,2025-09-11
3338ba48,TK570,C21190,other,resolved,2025-09-07
5c466aa5,TK861,C50197,seat,open,2025-10-03
df38dd30,TK445,C38933,service,open,2025-08-16
3f58d480,TK383,C39033,other,resolved,2025-08-27
f49fb81a,TK466,C83869,baggage,resolved,2025-08-20
41d6517b,TK598,C81344,delay,open,2025-08-30
765ba836,TK174,C68557,seat,pending,2025-09-12
e4de4cdc,TK736,C26724,delay,resolved,2025-09-03
dd8e33a1,TK745,C15482,service,resolved,2025-09-21
5f97d744,TK573,C80448,baggage,open,2025-08-25
ca085120,TK745,C54602,delay,pending,2025-10-02
188c4469,TK884,C32207,baggage,pending,2025-10-02
36fe1ec1,TK210,C69518,delay,resolved,2025-09-01
fb42bb98,TK581,C18210,delay,pending,2025-08-23
1890d415,TK551,C82124,delay,pending,2025-09-06
89c71279,TK919,C13321,baggage,pending,2025-08-30
886d13c3,TK456,C89190,baggage,pending,2025-08-27
afb6628a,TK325,C32190,seat,resolved,2025-10-11
d03d422c,TK502,C92909,seat,resolved,2025-09-08
b9ee77e3,TK258,C44542,delay,resolved,2025-09-12
e85af2c4,TK765,C26715,service,resolved,2025-09-06
02d86bbe,TK174,C81425,baggage,resolved,2025-10-13
fd333b98,TK383,C44610,delay,open,2025-09-27
6203371f,TK236,C80194,other,resolved,2025-09-17
24402313,TK988,C27154,baggage,open,2025-10-13
01358fe1,TK314,C40373,seat,pending,2025-10-13
22187942,TK145,C88928,baggage,resolved,2025-09-02
5c4345cc,TK862,C44624,service,resolved,2025-09-08
8c365629,TK870,C84964,seat,resolved,2025-09-20
1a084607,TK370,C82982,seat,open,2025-09-24
e2e335fb,TK976,C89285,seat,resolved,2025-08-31
e8d3408b,TK122,C46788,seat,resolved,2025-09-01
c8e62257,TK499,C52849,delay,resolved,2025-09-01
ec805228,TK325,C49758,baggage,open,2025-10-04
51d3e9ed,TK477,C74047,service,resolved,2025-08-22
d921b10e,TK395,C93555,delay,resolved,2025-09-11
e45b0f1f,TK140,C98503,service,resolved,2025-09-08
d7e9c309,TK213,C31312,delay,open,2025-09-16
1cf2b3c4,TK838,C50379,delay,open,2025-08-29
bc1e87cc,TK230,C21738,delay,resolved,2025-09-07
158cebbd,TK884,C18767,baggage,resolved,2025-08-24
68e1d843,TK679,C27438,baggage,open,2025-10-10
e82cb759,TK395,C17069,service,resolved,2025-10-04
77f8bf9f,TK138,C80188,delay,open,2025-08-22
b265ef16,TK412,C47226,delay,open,2025-08-26
024d9c1b,TK970,C28693,baggage,resolved,2025-09-15
60f02a2b,TK820,C63161,other,open,2025-09-03
e42e1fa5,TK415,C83851,delay,pending,2025-10-11
7b979c92,TK955,C76321,seat,pending,2025-10-02
6a91e5da,TK744,C30538,other,resolved,2025-08-31
0915f932,TK745,C46575,delay,resolved,2025-09-08
db999ed1,TK294,C25848,delay,resolved,2025-09-23
a16a18a4,TK811,C96836,seat,resolved,2025-09-03
7a00adea,TK602,C19569,delay,open,2025-08-27
635baebd,TK990,C10340,delay,resolved,2025-09-01
026739ae,TK419,C10138,delay,resolved,2025-09-17
79b2a939,TK198,C40654,service,resolved,2025-08-29
05d196ec,TK290,C74353,delay,resolved,2025-09-28
0e59ddd0,TK736,C95090,seat,resolved,2025-08-19
a09dc009,TK772,C54695,baggage,resolved,2025-09-24
1152fa00,TK495,C28951,service,resolved,2025-09-09
055b1ca2,TK145,C85774,other,pending,2025-10-04
2bc307a1,TK838,C36421,delay,pending,2025-09-24
b23e168f,TK668,C54789,baggage,open,2025-09-28
a8fbe2b3,TK687,C11207,delay,pending,2025-10-03
35a1906b,TK573,C23893,service,resolved,2025-08-28
a7c51ad1,TK370,C70011,delay,pending,2025-08-21
f33b9ad0,TK506,C82805,delay,resolved,2025-09-22
137f97a9,TK256,C30878,baggage,pending,2025-08-25
b7475bbc,TK411,C46593,baggage,pending,2025-09-18
26e8d194,TK701,C31083,seat,resolved,2025-10-11
50ad6771,TK687,C51862,other,resolved,2025-10-06
71a45dd4,TK673,C92035,service,resolved,2025-09-12
aa97d504,TK289,C90018,delay,resolved,2025-10-10
5233679a,TK838,C35518,baggage,pending,2025-09-29
55df9466,TK231,C37103,other,open,2025-10-12
3c99f63d,TK655,C29337,service,resolved,2025-09-29
