flight_number,departure_time,delay_minutes,aircraft_type,crew_issues,weather_impact
TK251,2025-09-10T11:45:00,22,A330,0,0
TK138,2025-09-30T23:00:00,50,A321,0,0
TK260,2025-09-29T12:15:00,0,A330,0,0
TK645,2025-09-15T22:00:00,4,A330,0,0
TK539,2025-09-01T14:00:00,0,A321,0,0
TK488,2025-10-14T16:30:00,62,A320,0,0
TK245,2025-09-08T15:00:00,0,A320,0,0
TK988,2025-09-21T03:45:00,0,A330,0,0
TK479,2025-10-09T06:45:00,0,B737,0,0
TK325,2025-09-20T06:45:00,54,A330,0,0
TK465,2025-10-05T10:15:00,10,A330,1,0
TK987,2025-10-09T04:00:00,0,A330,0,0
TK119,2025-08-18T16:00:00,0,A320,0,0
TK838,2025-09-07T12:45:00,0,A320,0,0
TK456,2025-09-11T10:00:00,115,A320,0,0
TK294,2025-09-20T01:45:00,35,A330,0,0
TK223,2025-09-30T05:45:00,0,B737,0,0
TK136,2025-08-16T15:00:00,0,A320,0,0
TK400,2025-09-13T18:15:00,13,A321,0,0
TK848,2025-09-12T05:45:00,0,A321,0,0
TK670,2025-08-28T08:00:00,0,A321,0,0
TK290,2025-09-18T05:45:00,8,A330,0,1
TK455,2025-10-13T13:00:00,0,A321,0,0
TK145,2025-09-18T16:00:00,0,A330,0,0
TK955,2025-08-31T02:45:00,27,A321,0,0
TK671,2025-09-30T04:00:00,0,B737,0,0
TK423,2025-09-18T16:45:00,67,A330,0,0
TK573,2025-08-20T17:15:00,0,A321,0,0
TK862,2025-09-10T19:00:00,54,A320,0,1
TK581,2025-08-30T01:00:00,0,A330,0,0
TK370,2025-08-21T10:45:00,0,A320,0,0
